No.,Lims No.,物质名称(英文),物质名称(中文),列入日期,EC 号码,CAS 号码,可能用途,Possible Applications,Natural textiles,Synthetic textiles,Leather,Metal,Plastic|polymers|foam,Wood,Paper,Ceramic,Glass,Dye|Pigment|Ink|Paint,Adhesives|Sealants,Battery,Electronic components,*Remarks,Organic|Inorganic,Chemical Classification
11,11,Bis (2-ethyl(hexyl)phthalate) (DEHP),邻苯二甲酸二(2-乙基己基)酯,"2014/12/17;
2008/10/28",204-211-0,117-81-7,PVC 和合成皮革的增塑剂; 胶浆印花和植绒印花,"Used as plasticiser for PVC, synthetic leather. It can be found in plastisol, flock printing.",Y*,Y*,N,N,Y ,N,N,N,N,Y ,Y ,N,N,Textiles with plastisol print,Organic,Phthalates
12,12,Lead hydrogen arsenate,酸式砷酸铅,10/28/2008,232-064-2,7784-40-9,以前用作杀虫剂,Previously used as pesticide,N,N,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,"Pb, As"
13,13,Diarsenic pentaoxide,五氧化二砷,10/28/2008,215-116-9,1303-28-2,用于木材防腐剂,Manufacture of wood preservative,N,N,N,N,N,Y ,N,N,N,N,N,N,N,,Inorganic,As compounds
14,14,Diarsenic trioxide,三氧化二砷,10/28/2008,215-481-4,1327-53-3,用于制造玻璃、搪瓷和水晶玻璃; 用作半导体砷化物,"Use in manufacturing of glass, enamels and lead crystals, raw material for arsenide semiconductors",N,N,N,N,N,N,N,N,N,N,N,N,Y ,,Inorganic,As compounds
15,15,Dibutyl phthalate (DBP),邻苯二甲酸二丁酯,10/28/2008,201-557-4,84-74-2,PVC 和合成皮革的增塑剂; 胶浆印花和植绒印花,"Used as plasticiser for PVC, synthetic leather. It can be found in plastisol, flock printing.",Y*,Y*,N,N,Y ,N,N,N,N,Y ,Y ,N,N,Textiles with plastisol print,Organic,Phthalates
16,16,Anthracene oil,蒽油,1/13/2010,292-602-7,90640-80-5,主要用作生产蒽(用作人造染料)的中间体; 其他应用包括: 技术焦油油和涂料、医药产品、浸渍剂、屋顶防水膜、工业粘度调节剂; 用于木材防腐,"Mainly used as an intermediate in the production of anthracene, which is used in the production of artificial dyes. Other applications include: Technical tar oils and paints, pharmaceutical products, impregnation agent, waterproof membranes for roofing industrial viscosity modifier. It can also be used for wood preservation",N,N,N,N,N,Y ,N,N,N,Y ,N,N,N,,Organic,Polycyclic Aromatic Hydrocarbons (PAHs)
17,17,"Anthracene oil, anthracene paste,distn. Lights",蒽油，蒽糊，轻油,1/13/2010,295-278-5,91995-17-4,主要用作生产蒽(用作人造染料)的中间体; 其他应用包括: 技术焦油油和涂料、医药产品、浸渍剂、屋顶防水膜、工业粘度调节剂;用于木材防腐,"Mainly used as an intermediate in the production of anthracene, which is used in the production of artificial dyes. Other applications include: Technical tar oils and paints, pharmaceutical products, impregnation agent, waterproof membranes for roofing, industrial viscosity modifier. It can also be used for wood preservation",N,N,N,N,N,Y ,N,N,N,Y ,N,N,N,,Organic,Polycyclic Aromatic Hydrocarbons (PAHs)
18,18,"Anthracene oil, anthracene paste, anthracene fraction",蒽油，蒽糊，蒽馏分,1/13/2010,295-275-9,91995-15-2,主要用作生产蒽(用作人造染料)的中间体; 其他应用包括: 技术焦油油和涂料、医药产品、浸渍剂、屋顶防水膜、工业粘度调节剂;用于木材防腐,"Mainly used as an intermediate in the production of anthracene, which is used in the production of artificial dyes. Other applications include: Technical tar oils and paints, pharmaceutical products, impregnation agent, waterproof membranes for roofing industrial viscosity modifier. It can also be used for wood preservation",N,N,N,N,N,Y ,N,N,N,Y ,N,N,N,,Organic,Polycyclic Aromatic Hydrocarbons (PAHs)
19,19,"Anthracene oil, anthracene-low",蒽油，含蒽量低,1/13/2010,292-604-8,90640-82-7,主要用作生产蒽(用作人造染料)的中间体; 其他应用包括: 技术焦油油和涂料、医药产品、浸渍剂、屋顶防水膜、工业粘度调节剂;用于木材防腐,"Mainly used as an intermediate in the production of anthracene, which is used in the production of artificial dyes. Other applications include: Technical tar oils and paints, pharmaceutical products, impregnation agent, waterproof membranes for roofing, industrial viscosity modifier.It can also be used for wood preservation",N,N,N,N,N,Y ,N,N,N,Y ,N,N,N,,Organic,Polycyclic Aromatic Hydrocarbons (PAHs)
20,20,"Anthracene oil, anthracene paste",蒽油，蒽糊,1/13/2010,292-603-2,90640-81-6,主要用作生产蒽(用作人造染料)的中间体; 其他应用包括: 技术焦油油和涂料、医药产品、浸渍剂、屋顶防水膜、其他密封应用、工业粘度调节剂; 用于木材防腐,"Mainly used as an intermediate in the production of anthracene, which is used in the production of artificial dyes. Other applications include: Technical tar oils and paints, pharmaceutical products, impregnation agent, waterproof membranes for roofing industrial viscosity modifier.  It can also be used for wood preservation",N,N,N,N,N,Y ,N,N,N,Y ,N,N,N,,Organic,Polycyclic Aromatic Hydrocarbons (PAHs)
21,21,"Pitch, coal tar, high temp. ",煤沥青，高温 ,1/13/2010,266-028-2,65996-93-2,"工业用电极、耐火材料和煤球的结合剂; 作防腐蚀保护剂用于工业用油漆和涂料; 用于生产活性碳和碳纤维; 用于防水涂料/屋面粘合剂
产品可能包含此物質：粘土飞靶、医药制剂、防水涂料/屋面和重型防腐蚀产品的粘合剂","Used as binding agent for (industrial) electrodes and refractories,
briquettes, as an anti-corrosion protection agent in industrial paints and coatings. It can be used in production of active carbon and carbon fibres, waterproof coating/ adhesive agent in roofing.
Products that may contain this SVHC: Clay pigeons, medicinal preparations, waterproof coating/adhesive agent in roofing and heavy duty corrosion protection products.",N,N,N,N,N,N,N,N,N,N,Y ,N,Y* ,Binding agent in the production of electrodes ,Organic,Polycyclic aromatic hydrocarbons (PAHs)
22,22,"2,4-Dinitrotoluene","2,4-二硝基甲苯",1/13/2010,204-450-0,121-14-2,用作在生产柔性聚氨酯泡沫体过程中的中间体; 用于偶氮染料的合成; 用作炸药的凝胶塑化剂,An intermediate used during the production of flexible polyurethane foams. Synthesis of azodyes. A gelatinizing-plasticizing agent in explosives.,N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Benzene Derivatives
23,23,Diisobutyl phthalate ,邻苯二甲酸二异丁酯,1/13/2010,201-553-2,84-69-5,增塑剂; 有时候可替代邻苯二甲酸二丁酯（DBP）; 可能存在于：塑料、涂料、油漆、清漆、粘合剂、结合剂、软化剂、​​粘度调节剂、点胶和印刷​​油墨,"Used as plasticisers. Sometimes used as a substitute for dibutylphthalate (DBP). May be present in: plastics, paints, lacquers, varnishes, adhesives, binding agents, softeners, viscosity adjusters, dispersion glues and printing ink",Y*,Y*,N,N,Y ,N,N,N,N,Y ,Y ,N,N,Textiles with plastisol print,Organic,Phthalates
24,24,Tris(2-chloroethyl)phosphate,三(2-氯乙基)磷酸酯,1/13/2010,204-118-5,115-96-8,阻燃剂和增塑剂。应用包括: 塑料制品、粘合剂、涂料、阻燃剂、灭火剂、家具和绝缘材料,"A flame retardant and plasticiser. Applications include: plastic products, adhesives, coatings, flame retardants and extinguishing agents, furniture, insulating materials.",Y ,Y ,N,N,Y ,N,N,N,N,Y* ,Y ,N,N,Flame resistance paint,Organic,"P, Cl"
25,25,Lead chromate,铬酸铅,1/13/2010,231-846-0,7758-97-6,铬酸铅的油漆用于需要防止腐蚀或需要保护颜色鲜艳的工业用产品中; 用于初级涂层作防锈用途; 皮革染色剂,Lead chromate based paints are found in all industrial sectors in products requiring protection against corrosion or bright colours. It also has anticorrosive property for primary coating. Colouring agent used in leather finishing ,N,N,Y ,N,Y ,N,N,N,N,Y ,N,N,N,,Inorganic,"Pb, Cr"
26,26,Lead sulfochromate yellow (C.I. Pigment Yellow 34),铅铬黄（CI颜料黄34）,1/13/2010,215-693-7,1344-37-2,用作着色、油漆和涂层剂，用于橡胶，塑料，涂料，涂层和清漆,"Used as a colouring, painting and coating agent in sectors such as the rubber, plastic and paints, coatings and varnishes industries.",Y ,Y ,N,N,Y ,N,N,N,N,Y ,N,N,N,,Inorganic,"Pb, Cr, S"
27,27,Lead chromate molybdate sulfate red (C.I. Pigment Red 104),钼铬红（CI颜料红104）,1/13/2010,235-759-9,12656-85-8,铬酸铅基颜料。应用包括: 塑料（聚烯烃，聚氯乙烯，尼龙）、油墨、涂料、清漆、涂料、纺织印染、油毡和胶粘剂的着色,"Lead chromate based pigments. Applications include: colouring of plastics (polyolefins, PVC, nylon), inks, paints, varnishes, coatings,  textile printing, linoleum, mastics.",Y ,Y ,N,N,Y ,N,N,N,N,Y ,N,N,N,,Inorganic,"Pb, Cr, S, Mo"
28,28,"Zirconia Aluminosilicate Refractory Ceramic Fibres
 
are fibres covered by index number 650-017-00-8 in Annex VI, part 3, table 3.1 of Regulation (EC) No 1272/2008 of the European Parliament and of the Council of 16 December 2008 on classification, labelling and packaging of substances and mixtures, and fulfil the three following conditions:
 
 
a) oxides of aluminium, silicon and zirconium are the main components  present (in the fibres) within variable concentration ranges 
 
b) fibres have a length weighted geometric mean diameter less two standard geometric errors of 6 or less micrometres (µm).
 
c) alkaline oxide and alkali earth oxide (Na2O+K2O+CaO+MgO+BaO) content less or equal to 18%  by weight",氧化锆硅酸铝耐火陶瓷纤维,12/19/2011,-,-,用于高温绝缘的耐火材料，大部分用于工业应用（如工业炉和设备，汽车制造，航天航空设备的绝缘），用于建筑和工业设备的防火,"Used for high-temperature insulation, almost exclusively in industrial applications (insulation of industrial furnaces and equipment, equipment for the automotive and aircraft/aerospace industry) and in fire protection (buildings and industrial process equipment).",N,N,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,Silicate
29,29,"Aluminosilicate Refractory Ceramic Fibres
 
are fibres covered by index number 650-017-00-8 in Annex VI, part 3, table 3.1 of Regulation (EC) No 1272/2008 of the European Parliament and of the Council of 16 December 2008 on classification, labelling and packaging of substances and mixtures, and fulfill the three following conditions:
 
a) oxides of aluminium and silicon are the main components present (in the fibres) within variable concentration ranges
 
b) fibres have a length weighted geometric mean diameter less two standard geometric errors of 6 or less micrometres (µm)
 
c) alkaline oxide and alkali earth oxide (Na2O+K2O+CaO+MgO+BaO) content less or equal to 18%  by weight", 硅酸铝耐火陶瓷纤维,12/19/2011,-,-,用于高温绝缘的耐火材料，大部分用于工业应用（如工业炉和设备，汽车制造，航天航空设备的绝缘），用于建筑和工业设备的防火,"Refractory ceramic fibres are used for high-temperature insulation, almost exclusively in industrial applications (insulation of industrial furnaces and equipment, equipment for the automotive and aircraft/aerospace industry) and in fire protection (buildings and industrial process equipment).",N,N,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,Silicate
30,30,Acrylamide,丙烯酰胺,3/30/2010,201-173-7,79-06-1,主要用在制造聚丙烯酰胺; 用作特殊应用的灌浆剂; 其他可能的应用包括: 作为添加剂用在化妆品、用于土壤和沙子的稳定和纺织品的处理;粘合剂,"Mainly used in the manufacture of polyacrylamide. May be used as a grouting agent in specialist applications. Other possible applications include: additive in cosmetics, soil and sand stabilisation, textile processing. As binders in adhesives.",N,N,N,N,N,N,N,N,N,N,Y ,N,N,,Organic,Amide 
31,31,Trichloroethylene,三氯乙烯 ,6/18/2010,201-167-4,79-01-6,用于清洗和脱脂金属部件; 用于粘合剂的溶剂; 用作制造氯化有机​​化合物的中间体; 用来作为在皮革制备和织物整理的溶剂,"It is used to clean and degrease metal parts, used as a solvent in adhesives. As an intermediate in the manufacture of chlorinated  organic compounds. It is also used in as a solvent in leather preparation and textile finishing",Y ,Y ,Y ,N,N,N,N,N,N,N,Y ,N,N,,Organic,Halogenated hydrocarbons
32,32,Boric acid,硼酸,6/18/2010,"233-139-2, 234-343-4","10043-35-3, 11113-50-1",包括多种应用: 例如杀生剂、防腐剂、食品添加剂、陶瓷、粘合剂、化肥、阻燃剂、颜料、工业流体、制动液、焊接制品，影片显影剂 用作生产玻璃的中间体,"Uses include a multitude of applications, e.g. in biocides and preservatives, food additives,  ceramics, adhesives, fertilisers, flame retardants, paints, industrial fluids, brake fluids, soldering products, film developers.  Intermediate in production of glass",Y ,Y ,Y ,N,Y ,Y ,Y ,Y ,N,Y ,Y ,N,N,,Inorganic,B compounds
33,33,"Disodium tetraborate, anhydrous",无水四硼酸钠,6/18/2010,215-540-4,"1303-96-4, 1330-43-4, 12179-04-3",包括多种应用: 例如洗涤剂、清洁剂、个人护理产品、工业流体、冶金、粘合剂、阻燃剂、杀生剂、化肥等;用作生产玻璃的中间体; 用于皮革鞣制,"Uses include a multitude of applications, e.g. detergents and cleaners, personal care products, industrial fluids, metallurgy, adhesives, flame retardants, biocides, fertilisers. Intermediate in production of glass. Used in leather tanning",N,N,Y ,N,Y ,N,Y ,N,N,N,Y ,N,N,,Inorganic,"B, Na"
34,34,"Tetraboron disodium heptaoxide, hydrate",水合硼酸钠,6/18/2010,235-541-3,12267-73-1,用于多种应用: 例如，洗涤剂、清洁剂、个人护理产品、工业流体、冶金、粘合剂、阻燃剂、杀生剂、化肥等;用作生产玻璃的中间体; 用于皮革鞣制,"Uses include a multitude of applications, e.g. detergents and cleaners, personal care products, industrial fluids, metallurgy, adhesives, flame retardants, biocides, fertilizers.Intermediate in production of glass. Used in leather tanning",N,N,Y ,N,Y ,N,Y ,N,N,N,Y ,N,N,,Inorganic,"B, Na"
35,35,Sodium chromate,铬酸钠,6/18/2010,231-889-5,11/3/7775,用于实验室（分析剂）; 用于制造其他铬化合物; 用于皮革、纺织品、金属和塑料,"Used as laboratory analytical agents and manufacture other chromium compounds. It also used in leather, textile, metal and plastic",Y ,Y ,Y ,Y ,Y ,N,N,N,N,Y ,N,N,N,,Inorganic,"Cr, Na"
36,36,Potassium chromate,铬酸钾,6/18/2010,232-140-5,7789-00-6,用于金属处理和涂层的腐蚀抑制剂; 用于生产试剂和化学品; 用于生产纺织品; 用作陶瓷着色剂; 用于制造颜料/油墨; 用于实验室（分析试剂）,"Corrosion inhibitor for treatment and coating of metals. Manufacture of reagents and chemicals, textiles, pigments or inks. It is used as a colouring agent in ceramics. It is also used as a laboratory analytical reagent. ",Y ,Y ,Y ,Y ,Y ,N,N,Y ,N,Y ,N,N,N,,Inorganic,"Cr, K"
37,37,Ammonium dichromate,重铬酸铵,6/18/2010,232-143-1,9/5/7789,氧化剂、实验室（分析剂）、纺织媒染剂，用于制造光敏屏幕,"Used as oxidising agents, laboratory analytical agents, textile mordants. It can be used to  manufacture of photosensitive screens.",Y ,Y ,Y ,N,N,N,N,N,N,Y ,N,N,N,,Inorganic,Cr compounds
38,38,Potassium dichromate,重铬酸钾,6/18/2010,231-906-6,7778-50-9,用于制造镀铬金属; 作为腐蚀抑制剂用于处理金属和金属涂层; 用于生产试剂和化学品; 用于实验室（分析试剂）; 用于清洗实验室玻璃器皿; 纺织媒染剂; 用作光刻技术的氧化剂;用于木材防腐剂,"It is used in chrome metal manufacturing process, used as a corrosion inhibitor for treatment and coating of metals. It is used in laboratory as analytical agent ad cleaning agent for glassware, It is used as textile mordant and an oxidising agent in photolithography. Used in wood preservatives ",Y ,Y ,Y ,Y ,N,Y ,N,N,N,Y ,N,N,N,,Inorganic,"Cr, K"
39,39,Cobalt(II) sulphate,硫酸钴,12/15/2010,233-334-2,10124-43-3,用于生产化学品、颜料、催化剂和干燥剂，防腐、脱色（玻璃，陶瓷),"Production of chemicals, pigments, catalysts and driers, corrosion prevention, decolourising (in glass, pottery).",N,N,N,N,N,N,N,Y ,Y ,Y ,N,N,N,,Inorganic,"Co, S"
40,40,Cobalt(II) dinitrate,硝酸钴,12/15/2010,233-402-1,10141-05-6,主要用于制造催化剂和颜料，也可用于表面处理和电池 ,Production of other chemicals including catalysts and pigment. Further applications may include surface treatment and batteries. ,N,N,N,N,N,N,N,N,N,Y ,N,N,N,,Inorganic,Co compounds
41,41,Cobalt(II) carbonate,碳酸钴,12/15/2010,208-169-4,513-79-1,主要用于生产催化剂; 次要用途包括生产其他化学物质(如颜料)和作为底釉熔块的粘合剂,"Mainly used in the manufacture of catalysts. Minor uses may include production of other chemicals including pigments, and as an adhesive in ground coat frit.",N,N,N,N,N,N,N,N,N*,Y ,Y ,N,N,Painting of glass,Inorganic,Co compounds
42,42,Cobalt(II) diacetate,醋酸钴,12/15/2010,200-755-8,71-48-7,主要用作生产催化剂或作为催化剂; 次要用途包括用于生产其他化学物质(如颜料)、合金表面处理、染料,"Mainly used in the manufacture of catalysts or as a catalyst. Minor uses may include production of other chemicals including pigments, surface treatment in alloys, dyes ",N,N,N,N,N,N,N,N,N,Y ,N,N,N,,Inorganic,Co compounds
43,43,2-Methoxyethanol,乙二醇单甲醚,12/15/2010,203-713-7,109-86-4,作为溶剂、化学中间体或实验室化学制品,"Uses include as a solvent, a chemical intermediate or a laboratory chemical.",N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Glycol ether
44,44,2-Ethoxyethanol,乙二醇单乙醚,12/15/2010,203-804-1,110-80-5,作为溶剂、化学中间体或实验室化学制品,"Uses include as a solvent, a chemical intermediate or a laboratory chemical.",N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Glycol ether
45,45,Chromium trioxide,三氧化铬,12/15/2010,215-607-8,1333-82-0,主要用于金属表面处理，如电镀（如硬铬和装饰性电镀），转化膜和增亮; 它也可以用作水性木材防腐剂的固定剂; 次要用途是制造颜料、涂料、催化剂、洗涤剂，也可用作氧化剂,"Mainly used in metal finishing, such as electroplating (e.g. hard chrome and decorative plating), conversion coatings and brightening. It is also used as a fixing agent in waterborne wood preservatives. Minor uses are in the manufacture of the pigments and paints, in catalyst and detergent manufacture, and as and oxidising agent.",N,N,N,Y ,N,Y ,N,N,N,Y ,N,N,N,,Inorganic,Cr compounds
46,46,"Acids generated from chromium trioxide and their oligomers. Names of the acids and their oligomers: Chromic acid, Dichromic acid, Oligomers of chromic acid and dichromic acid.","铬酸,重铬酸,铬酸和重铬酸的低聚物.",12/15/2010,"231-801-5, 
236-881-5","7738-94-5, 
13530-68-2",三氧化铬溶解于水时，产生这些酸和它们的低聚物。因此，这些物质的用途与三氧化铬相同,"These acids and their oligomers are generated when chromium trioxide is dissolved in water. Consequently, the uses of these substances are the same as indicated for chromium trioxide.",N,N,N,Y ,N,Y ,N,N,N,Y ,N,N,N,,Inorganic,Cr compounds
47,47,2-ethoxyethyl acetate,乙二醇乙醚乙酸酯,6/20/2011,203-839-2,111-15-9,作为溶剂用于涂料和化学工业; 作为制造氰基丙烯酸酯粘合剂的中间体,Solvent in coatings and in the chemical industry. As an intermediate in the manufacture of cyanoacrylate adhesives.,N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Glycol ether
48,48,Strontium chromate,铬酸锶,6/20/2011,232-142-6,6/2/7789,主要作为涂料的缓蚀剂，用在航空/航天、钢和铝的卷材涂料行业和汽车涂料,"Mainly as corrosion inhibitor in coating mixtures used in the aeronautic/aerospace sector, in the coil coating sector of steel and aluminum, and in the vehicle coating sector. ",N,N,N,Y ,N,N,N,N,N,N,N,N,N,,Inorganic,"Cr, Sr"
49,49,"1,2-Benzenedicarboxylic acid, di-C7-11-branched and linear alkyl esters (DHNUP)","1,2 - 苯二酸 - 二（C7-11支链与直链）烷基酯",6/20/2011,271-084-6,68515-42-4,用作PVC的增塑剂、用于泡沫、粘合剂和涂料,"Used as plasticiser in in PVC, foam, adhesives and coatings.",N,N,N,N,Y ,N,N,N,N,N,Y ,N,N,,Organic,Phthalates
50,50,Hydrazine,肼,6/20/2011,206-114-9,7803-57-8/ 302-01-2,用作制造肼衍生物的中间体; 作为在聚合反应的单体; 水处理的缓蚀剂; 用于金属还原和化学品的精炼,As an intermediate in the manufacture of hydrazine derivatives. As a monomer in polymerizations. Corrosion inhibitor in water treatment. Metal reduction and refining of chemicals.,N,N,N,N,Y ,N,N,N,N,N,Y ,N,N,,Organic,Hydrazine
51,51,1-methyl-2-pyrrolidone,N-甲基吡咯烷酮,6/20/2011,212-828-1,872-50-4,"作为溶剂，用在涂料和清洁产品、制造电子和电气设备、半导体工业、石化加工、医药和农药, 用于锂原电池","Solvent in coatings and cleaning products, for the EEE manufacture, semiconductor industry, petrochemical processing, pharmaceuticals and agrochemicals, used in Lithium primary batteries.",N,Y ,Y,N,Y,N,N,N,N,Y ,Y ,Y,N,,Organic,Pyrrolidines 
52,52,"1,2,3-trichloropropane","1,2,3-三氯丙烷",6/20/2011,202-486-1,96-18-4,用作制造氯化溶剂和农业产品的中间体; 作为在聚合反应中的单体; 用于溶剂、油漆去除剂; 脱脂剂,"As an intermediate in the manufacture of chlorinated solvents and agricultural products. As a monomer in polymerisations. Solvent, paint remover. Degreasing agent.",N,N,N,N,Y ,N,N,N,N,N,Y ,N,N,,Organic,Halogenated hydrocarbons 
53,53,"1,2-Benzenedicarboxylic acid, di-C6-8-branched alkyl esters, C7-rich (DIHP)", 邻苯二甲酸二（C6-8支链）烷基酯，富C7链,6/20/2011,276-158-1,71888-89-6,用作PVC的增塑剂，用于密封剂、涂料和印刷油墨,"Used as plasticiser in PVC and in sealants, coatings. Printing inks.",N,N,N,N,Y ,N,N,N,N,Y ,Y ,N,N,,Organic,Phthalates
54,54,"1,2-Dichloroethane","1,2-二氯乙烷",12/19/2011,203-458-1,107-06-2,主要用于制造其他物质; 次要使用为化工、制药行业和实验室的溶剂,"Mainly used for manufacture of other substances. Minor uses as solvent in the chemical and pharmaceutical industry, as well as in laboratories",N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Halogenated hydrocarbons
55,55,"2,2'-Dichloro-4,4'-methylenedianiline "," 3,3'-二氯-4,4'-二氨基二苯基甲烷",12/19/2011,202-918-9,101-14-4,主要用作树脂和于生产聚合物制品的固化剂，并且还用于制造其他物质; 该物质也可能用于建筑和艺术中; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料,"Mainly used as curing agent in resins and in the production of polymer articles and also for manufacture of other substances. The substance may further be used in construction and arts. This amine is restricted under REACH Annex XVII, entry 43 for textiles and leather.",Y ,Y ,Y ,N,Y ,N,N,N,N,Y,N,N,N,,Organic,Aromatic amines
56,56,2-Methoxyaniline; o-Anisidine,邻甲氧基苯胺 ,12/19/2011,201-963-1,90-04-0,主要用在制造纹身纸染料和纸张、聚合物和铝箔的着色; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料,"Mainly used in the manufacture of dyes for tattooing and colouration of paper, polymers and aluminium foil. This amine is restricted under REACH Annex XVII, entry 43 for textiles and leather.",Y ,Y ,Y ,Y* ,Y ,N,N,N,N,Y,N,N,N,Dyed aluminium foil,Organic,Aromatic amines
57,57,"4-(1,1,3,3-tetramethylbutyl)phenol",对特辛基苯酚 ,12/19/2011,205-426-2,140-66-9,主要用在制造聚合物和乙氧基化表面活性剂。它也可用作粘合剂、涂层、油墨和橡胶制品的成分,"Mainly used in the manufacture of polymer preparations and of ethoxylate surfactants. It is further used as a component in adhesives, coatings, inks and rubber articles.",Y ,Y ,Y,N,Y ,N,Y ,N,N,Y ,Y ,N,N,,Organic,Alkylphenol
