Determination start,Method name,ID1.Value,ID2.Value,RS01.Name,RS01.Value,RS02.Name,RS02.Value,Lab TEMP,[DELTA]ph
2018-11-29 13:44:56 UTC+8,pH Measure,19,27095/4B,pH,6.89,T,23.4,,
2018-11-29 13:45:04 UTC+8,pH Measure,20,27095/5,pH,6.86,T,23.4,,
2018-11-29 13:45:25 UTC+8,pH Measure,20,27095/5A,pH,6.86,T,23.4,,
2018-11-29 13:45:31 UTC+8,pH Measure,20,27095/5B,pH,6.86,T,23.4,,
2018-11-29 13:45:45 UTC+8,pH Measure,CC,,pH,5,T,23.6,,
2018-11-29 13:47:05 UTC+8,pH Measure,21,27095/6,pH,7.04,T,23.4,,
2018-11-29 13:50:00 UTC+8,pH Measure,21,27095/6A,pH,7.05,T,23.4,,
2018-11-29 13:50:10 UTC+8,pH Measure,21,27095/6B,pH,7.06,T,23.4,,
2018-11-29 13:50:17 UTC+8,pH Measure,22,27098/2,pH,6.95,T,23.6,,
2018-11-29 13:51:21 UTC+8,pH Measure,22,27098/2A,pH,6.94,T,23.6,,
2018-11-29 13:51:29 UTC+8,pH Measure,22,27098/2B,pH,6.94,T,23.7,,
2018-11-29 13:51:34 UTC+8,pH Measure,23,27098/3,pH,6.88,T,23.9,,
2018-11-29 13:52:28 UTC+8,pH Measure,23,27098/3A,pH,6.88,T,24,,
2018-11-29 13:52:35 UTC+8,pH Measure,23,27098/3B,pH,6.89,T,24,,
2018-11-29 13:52:42 UTC+8,pH Measure,24,27098/4,pH,6.94,T,23.9,,
2018-11-29 13:53:07 UTC+8,pH Measure,24,27098/4A,pH,6.95,T,24,,
2018-11-29 13:53:14 UTC+8,pH Measure,24,27098/4B,pH,6.95,T,24,,
2018-11-29 13:53:25 UTC+8,pH Measure,25,27100/2,pH,6.69,T,24.1,,
2018-11-29 13:55:24 UTC+8,pH Measure,25,27100/2A,pH,6.68,T,24.1,,
2018-11-29 13:55:31 UTC+8,pH Measure,25,27100/2B,pH,6.68,T,24.1,,
2018-11-29 13:55:40 UTC+8,pH Measure,26,27100/4,pH,7.39,T,24.1,,
2018-11-29 13:56:29 UTC+8,pH Measure,26,27100/4A,pH,7.4,T,24.1,,
2018-11-29 13:56:40 UTC+8,pH Measure,26,27100/4B,pH,7.41,T,24.1,,
2018-11-29 13:57:01 UTC+8,pH Measure,27,27100/6,pH,6.86,T,24,,
2018-11-29 13:58:13 UTC+8,pH Measure,27,27100/6A,pH,6.85,T,24,,
2018-11-29 13:58:22 UTC+8,pH Measure,27,27100/6B,pH,6.85,T,24,,
2018-11-29 13:58:30 UTC+8,pH Measure,28,27084/1,pH,7.3,T,23.7,,
2018-11-29 13:59:48 UTC+8,pH Measure,28,27084/1A,pH,7.32,T,23.7,,
2018-11-29 14:00:32 UTC+8,pH Measure,28,27084/1B,pH,7.34,T,23.7,,
2018-11-29 14:02:15 UTC+8,pH Measure,29,27066/5R1,pH,9.36,T,23.5,,
2018-11-29 14:03:41 UTC+8,pH Measure,29,27066/5R1A,pH,9.37,T,23.6,,
2018-11-29 14:06:14 UTC+8,pH Measure,29,27066/5R1B,pH,9.36,T,23.6,,
2018-11-29 14:06:44 UTC+8,pH Measure,30,27305/1,pH,7.78,T,23.6,,
2018-11-29 14:09:01 UTC+8,pH Measure,30,27305/1A,pH,7.72,T,23.6,,
2018-11-29 14:10:16 UTC+8,pH Measure,30,27305/1B,pH,7.66,T,23.6,,
2018-11-29 14:11:56 UTC+8,pH Measure,CC,,pH,4.99,T,23.5,,
2018-11-29 14:12:58 UTC+8,pH Measure,DI Water,,pH,5.47,T,22.9,,
