Solution Label	Type	Element	Soln Conc	Units	强度	重复项
STD BLK	空白	Fe(ref)	0	mg/L	370.08	3
STD BLK	空白	Hg	0	mg/L	18.839	3
STD BLK	空白	Hg(ref)	0	mg/L	18.839	3
STD BLK	空白	Hg(ref)	0	mg/L	7.5753	3
STD BLK	空白	Hg(ref)	0	mg/L	30.305	3
STD BLK	空白	K	0	mg/L	2156.1	3
STD BLK	空白	K(ref)	0	mg/L	6965.9	3
STD BLK	空白	K(ref)	0	mg/L	13.247	3
STD BLK	空白	K(ref)	0	mg/L	15968	3
STD BLK	空白	K(ref)	0	mg/L	2156.1	3
STD BLK	空白	K(ref)	0	mg/L	35271	3
STD BLK	空白	Mg	0	mg/L	5927.8	3
STD BLK	空白	Mg(ref)	0	mg/L	5927.8	3
STD BLK	空白	Mg(ref)	0	mg/L	48.197	3
STD BLK	空白	Mg(ref)	0	mg/L	1424.2	3
STD BLK	空白	Mg(ref)	0	mg/L	220.06	3
STD BLK	空白	Mn	0	mg/L	132.17	3
STD BLK	空白	Mn(ref)	0	mg/L	132.17	3
STD BLK	空白	Mn(ref)	0	mg/L	65.719	3
STD BLK	空白	Mn(ref)	0	mg/L	14.155	3
STD BLK	空白	Mo	0	mg/L	38.827	3
STD BLK	空白	Mo(ref)	0	mg/L	38.827	3
STD BLK	空白	Mo(ref)	0	mg/L	107.95	3
STD BLK	空白	Mo(ref)	0	mg/L	64.094	3
STD BLK	空白	Na	0	mg/L	32283	3
STD BLK	空白	Na(ref)	0	mg/L	14696	3
STD BLK	空白	Na(ref)	0	mg/L	383.86	3
STD BLK	空白	Na(ref)	0	mg/L	94921	3
STD BLK	空白	Na(ref)	0	mg/L	32283	3
STD BLK	空白	Ni	0	mg/L	16.902	3
STD BLK	空白	Ni(ref)	0	mg/L	32.769	3
STD BLK	空白	Ni(ref)	0	mg/L	13.673	3
STD BLK	空白	Ni(ref)	0	mg/L	16.902	3
STD BLK	空白	Pb	0	mg/L	10.102	3
STD BLK	空白	Pb	0	mg/L	15.06	3
STD BLK	空白	Pb(ref)	0	mg/L	31.954	3
STD BLK	空白	Pb(ref)	0	mg/L	14.993	3
STD BLK	空白	Pb(ref)	0	mg/L	10.102	3
STD BLK	空白	Pb(ref)	0	mg/L	28.728	3
STD BLK	空白	Pb(ref)	0	mg/L	25.077	3
STD BLK	空白	Pb(ref)	0	mg/L	26.641	3
STD BLK	空白	Pb(ref)	0	mg/L	35.333	3
STD BLK	空白	Sb	0	mg/L	22.768	3
STD BLK	空白	Sb(ref)	0	mg/L	22.768	3
STD BLK	空白	Sb(ref)	0	mg/L	12.682	3
STD BLK	空白	Sb(ref)	0	mg/L	19.511	3
STD BLK	空白	Sc	1	比值	1094.97	3
STD BLK	空白	Sc	1	比值	9351.21	3
STD BLK	空白	Sc	1	比值	11663.23	3
STD BLK	空白	Se	0	mg/L	21.125	3
STD BLK	空白	Se(ref)	0	mg/L	21.125	3
STD BLK	空白	Se(ref)	0	mg/L	21.235	3
STD BLK	空白	Sn	0	mg/L	67.025	3
STD BLK	空白	Sn(ref)	0	mg/L	67.025	3
STD BLK	空白	Sn(ref)	0	mg/L	55.056	3
STD BLK	空白	Sn(ref)	0	mg/L	112.97	3
STD BLK	空白	Sr	0	mg/L	3187.9	3
STD BLK	空白	Sr(ref)	0	mg/L	3187.9	3
STD BLK	空白	Sr(ref)	0	mg/L	1194.7	3
STD BLK	空白	Sr(ref)	0	mg/L	108.02	3
STD BLK	空白	Ti	0	mg/L	1255.1	3
STD BLK	空白	Ti(ref)	0	mg/L	944.21	3
STD BLK	空白	Ti(ref)	0	mg/L	1255.1	3
STD BLK	空白	Ti(ref)	0	mg/L	204.16	3
STD BLK	空白	Y	1	比值	127420	3
STD BLK	空白	Y	1	比值	234870	3
STD BLK	空白	Y	1	比值	159190	3
STD BLK	空白	Zn	0	mg/L	1788.6	3
STD BLK	空白	Zn(ref)	0	mg/L	1788.6	3
STD BLK	空白	Zn(ref)	0	mg/L	282.68	3
STD BLK	空白	Zr	0	mg/L	1466.5	3
STD BLK	空白	Zr(ref)	0	mg/L	1466.5	3
STD BLK	空白	Zr(ref)	0	mg/L	1764.5	3
STD BLK	空白	Zr(ref)	0	mg/L	14485	3
STD 0.04	标样	Al	0.04	mg/L	2784.3	3
STD 0.04	标样	Al(ref)	0.04	mg/L	1295.3	3
STD 0.04	标样	Al(ref)	0.04	mg/L	2800	3
STD 0.04	标样	As	0.04	mg/L	52.972	3
STD 0.04	标样	As(ref)	0.04	mg/L	53.263	3
STD 0.04	标样	As(ref)	0.04	mg/L	53.399	3
STD 0.04	标样	As(ref)	0.04	mg/L	26.744	3
STD 0.04	标样	As(ref)	0.04	mg/L	95.622	3
STD 0.04	标样	B	0.04	mg/L	87.718	3
STD 0.04	标样	B(ref)	0.04	mg/L	88.2	3
STD 0.04	标样	B(ref)	0.04	mg/L	735.39	3
STD 0.04	标样	B(ref)	0.04	mg/L	1366	3
STD 0.04	标样	Ba	0.04	mg/L	2527.1	3
STD 0.04	标样	Ba(ref)	0.04	mg/L	1701.3	3
STD 0.04	标样	Ba(ref)	0.04	mg/L	2541.6	3
STD 0.04	标样	Ba(ref)	0.04	mg/L	58763	3
STD 0.04	标样	Ba(ref)	0.04	mg/L	40138	3
STD 0.04	标样	Ca	0.04	mg/L	873630	3
STD 0.04	标样	Ca(ref)	0.04	mg/L	8402.6	3
STD 0.04	标样	Ca(ref)	0.04	mg/L	575620	3
STD 0.04	标样	Ca(ref)	0.04	mg/L	878660	3
STD 0.04	标样	Ca(ref)	0.04	mg/L	22836	3
STD 0.04	标样	Cd	0.04	mg/L	1310.7	3
STD 0.04	标样	Cd(ref)	0.04	mg/L	1218.1	3
STD 0.04	标样	Cd(ref)	0.04	mg/L	1537.9	3
STD 0.04	标样	Cd(ref)	0.04	mg/L	1318.3	3
STD 0.04	标样	Cd(ref)	0.04	mg/L	225.21	3
STD 0.04	标样	Cd(ref)	0.04	mg/L	123.77	3
STD 0.04	标样	Co	0.04	mg/L	463.45	3
STD 0.04	标样	Co(ref)	0.04	mg/L	778.24	3
STD 0.04	标样	Co(ref)	0.04	mg/L	497.93	3
STD 0.04	标样	Co(ref)	0.04	mg/L	466.05	3
STD 0.04	标样	Cr	0.04	mg/L	1542.8	3
STD 0.04	标样	Cr(ref)	0.04	mg/L	307.25	3
STD 0.04	标样	Cr(ref)	0.04	mg/L	96.377	3
STD 0.04	标样	Cr(ref)	0.04	mg/L	1551.7	3
STD 0.04	标样	Cu	0.04	mg/L	2220.1	3
STD 0.04	标样	Cu(ref)	0.04	mg/L	369.97	3
STD 0.04	标样	Cu(ref)	0.04	mg/L	3113.5	3
STD 0.04	标样	Cu(ref)	0.04	mg/L	2233.2	3
STD 0.04	标样	Fe	0.04	mg/L	1661.6	3
STD 0.04	标样	Fe(ref)	0.04	mg/L	820.44	3
STD 0.04	标样	Fe(ref)	0.04	mg/L	1671.4	3
STD 0.04	标样	Fe(ref)	0.04	mg/L	840.76	3
STD 0.04	标样	Hg	0.04	mg/L	102.17	3
STD 0.04	标样	Hg(ref)	0.04	mg/L	102.72	3
STD 0.04	标样	Hg(ref)	0.04	mg/L	159.2	3
STD 0.04	标样	Hg(ref)	0.04	mg/L	151.21	3
STD 0.04	标样	K	0.04	mg/L	5878.1	3
STD 0.04	标样	K(ref)	0.04	mg/L	7031.3	3
STD 0.04	标样	K(ref)	0.04	mg/L	31.845	3
STD 0.04	标样	K(ref)	0.04	mg/L	16014	3
STD 0.04	标样	K(ref)	0.04	mg/L	5910.3	3
STD 0.04	标样	K(ref)	0.04	mg/L	37953	3
STD 0.04	标样	Mg	0.04	mg/L	41983	3
STD 0.04	标样	Mg(ref)	0.04	mg/L	42228	3
STD 0.04	标样	Mg(ref)	0.04	mg/L	171.97	3
STD 0.04	标样	Mg(ref)	0.04	mg/L	9784.9	3
STD 0.04	标样	Mg(ref)	0.04	mg/L	1464.9	3
STD 0.04	标样	Mn	0.04	mg/L	7708	3
STD 0.04	标样	Mn(ref)	0.04	mg/L	7753.1	3
STD 0.04	标样	Mn(ref)	0.04	mg/L	3556.9	3
STD 0.04	标样	Mn(ref)	0.04	mg/L	694.64	3
STD 0.04	标样	Mo	0.04	mg/L	121.56	3
STD 0.04	标样	Mo(ref)	0.04	mg/L	122.31	3
STD 0.04	标样	Mo(ref)	0.04	mg/L	328.33	3
STD 0.04	标样	Mo(ref)	0.04	mg/L	209.95	3
STD 0.04	标样	Na	0.4	mg/L	103040	3
STD 0.04	标样	Na(ref)	0.4	mg/L	14457	3
STD 0.04	标样	Na(ref)	0.4	mg/L	447.31	3
STD 0.04	标样	Na(ref)	0.4	mg/L	236010	3
STD 0.04	标样	Na(ref)	0.4	mg/L	103650	3
STD 0.04	标样	Ni	0.04	mg/L	195.25	3
STD 0.04	标样	Ni(ref)	0.04	mg/L	287.14	3
STD 0.04	标样	Ni(ref)	0.04	mg/L	90.691	3
STD 0.04	标样	Ni(ref)	0.04	mg/L	195.25	3
STD 0.04	标样	Pb	0.04	mg/L	97.29	3
STD 0.04	标样	Pb	0.04	mg/L	97.743	3
STD 0.04	标样	Pb(ref)	0.04	mg/L	48.083	3
STD 0.04	标样	Pb(ref)	0.04	mg/L	29.573	3
STD 0.04	标样	Pb(ref)	0.04	mg/L	97.956	3
STD 0.04	标样	Pb(ref)	0.04	mg/L	63.043	3
STD 0.04	标样	Pb(ref)	0.04	mg/L	73.714	3
STD 0.04	标样	Pb(ref)	0.04	mg/L	59.213	3
STD 0.04	标样	Pb(ref)	0.04	mg/L	99.001	3
STD 0.04	标样	Sb	0.04	mg/L	85.713	3
STD 0.04	标样	Sb(ref)	0.04	mg/L	86.196	3
STD 0.04	标样	Sb(ref)	0.04	mg/L	46.874	3
STD 0.04	标样	Sb(ref)	0.04	mg/L	37.356	3
STD 0.04	标样	Sc	1.01	比值	1101.56	3
STD 0.04	标样	Sc	1.01	比值	9401.52	3
STD 0.04	标样	Sc	1.01	比值	11746.69	3
STD 0.04	标样	Se	0.04	mg/L	38.05	3
STD 0.04	标样	Se(ref)	0.04	mg/L	38.225	3
STD 0.04	标样	Se(ref)	0.04	mg/L	36.728	3
STD 0.04	标样	Sn	0.04	mg/L	110.2	3
STD 0.04	标样	Sn(ref)	0.04	mg/L	110.88	3
STD 0.04	标样	Sn(ref)	0.04	mg/L	61.646	3
STD 0.04	标样	Sn(ref)	0.04	mg/L	208.5	3
STD 0.04	标样	Sr	0.04	mg/L	239930	3
STD 0.04	标样	Sr(ref)	0.04	mg/L	241340	3
STD 0.04	标样	Sr(ref)	0.04	mg/L	97878	3
STD 0.04	标样	Sr(ref)	0.04	mg/L	5450.3	3
STD 0.04	标样	Ti	0.04	mg/L	5889.5	3
STD 0.04	标样	Ti(ref)	0.04	mg/L	10668	3
STD 0.04	标样	Ti(ref)	0.04	mg/L	5923.8	3
STD 0.04	标样	Ti(ref)	0.04	mg/L	1798.3	3
STD 0.04	标样	Y	1.0045	比值	127990	3
STD 0.04	标样	Y	1.0058	比值	236230	3
STD 0.04	标样	Y	0.99821	比值	158900	3
STD 0.04	标样	Zn	0.04	mg/L	1303.2	3
STD 0.04	标样	Zn(ref)	0.04	mg/L	1310.9	3
STD 0.04	标样	Zn(ref)	0.04	mg/L	208.9	3
STD 0.04	标样	Zr	0.04	mg/L	5264.2	3
STD 0.04	标样	Zr(ref)	0.04	mg/L	5297.4	3
STD 0.04	标样	Zr(ref)	0.04	mg/L	5992.7	3
STD 0.04	标样	Zr(ref)	0.04	mg/L	21284	3
STD 0.05	标样	Al	0.05	mg/L	3294.7	3
STD 0.05	标样	Al(ref)	0.05	mg/L	1437	3
STD 0.05	标样	Al(ref)	0.05	mg/L	3323.3	3
STD 0.05	标样	As	0.05	mg/L	75.035	3
STD 0.05	标样	As(ref)	0.05	mg/L	75.643	3
STD 0.05	标样	As(ref)	0.05	mg/L	74.915	3
STD 0.05	标样	As(ref)	0.05	mg/L	31.254	3
STD 0.05	标样	As(ref)	0.05	mg/L	102.56	3
STD 0.05	标样	B	0.05	mg/L	107.2	3
STD 0.05	标样	B(ref)	0.05	mg/L	108.12	3
STD 0.05	标样	B(ref)	0.05	mg/L	889.43	3
STD 0.05	标样	B(ref)	0.05	mg/L	1704	3
STD 0.05	标样	Ba	0.05	mg/L	3169.9	3
STD 0.05	标样	Ba(ref)	0.05	mg/L	2150.7	3
STD 0.05	标样	Ba(ref)	0.05	mg/L	3198.2	3
STD 0.05	标样	Ba(ref)	0.05	mg/L	75306	3
STD 0.05	标样	Ba(ref)	0.05	mg/L	51332	3
STD 0.05	标样	Ca	0.05	mg/L	515210	3
STD 0.05	标样	Ca(ref)	0.05	mg/L	5510.8	3
STD 0.05	标样	Ca(ref)	0.05	mg/L	345970	3
STD 0.05	标样	Ca(ref)	0.05	mg/L	519770	3
STD 0.05	标样	Ca(ref)	0.05	mg/L	13755	3
STD 0.05	标样	Cd	0.05	mg/L	1643.2	3
STD 0.05	标样	Cd(ref)	0.05	mg/L	1562.6	3
STD 0.05	标样	Cd(ref)	0.05	mg/L	1924	3
STD 0.05	标样	Cd(ref)	0.05	mg/L	1657.8	3
STD 0.05	标样	Cd(ref)	0.05	mg/L	245.35	3
STD 0.05	标样	Cd(ref)	0.05	mg/L	43.27	3
STD 0.05	标样	Co	0.05	mg/L	573.63	3
STD 0.05	标样	Co(ref)	0.05	mg/L	967.19	3
STD 0.05	标样	Co(ref)	0.05	mg/L	645.56	3
STD 0.05	标样	Co(ref)	0.05	mg/L	578.69	3
STD 0.05	标样	Cr	0.05	mg/L	1892	3
STD 0.05	标样	Cr(ref)	0.05	mg/L	373.5	3
STD 0.05	标样	Cr(ref)	0.05	mg/L	114.07	3
STD 0.05	标样	Cr(ref)	0.05	mg/L	1908.6	3
STD 0.05	标样	Cu	0.05	mg/L	2846.8	3
STD 0.05	标样	Cu(ref)	0.05	mg/L	492.96	3
STD 0.05	标样	Cu(ref)	0.05	mg/L	3913.1	3
STD 0.05	标样	Cu(ref)	0.05	mg/L	2871.8	3
STD 0.05	标样	Fe	0.05	mg/L	1834	3
STD 0.05	标样	Fe(ref)	0.05	mg/L	919.17	3
STD 0.05	标样	Fe(ref)	0.05	mg/L	1850.2	3
STD 0.05	标样	Fe(ref)	0.05	mg/L	942.95	3
STD 0.05	标样	Hg	0.05	mg/L	131.31	3
STD 0.05	标样	Hg(ref)	0.05	mg/L	132.48	3
STD 0.05	标样	Hg(ref)	0.05	mg/L	198.5	3
STD 0.05	标样	Hg(ref)	0.05	mg/L	211.56	3
STD 0.05	标样	K	0.05	mg/L	4528.2	3
STD 0.05	标样	K(ref)	0.05	mg/L	6987.7	3
STD 0.05	标样	K(ref)	0.05	mg/L	46.546	3
STD 0.05	标样	K(ref)	0.05	mg/L	15914	3
STD 0.05	标样	K(ref)	0.05	mg/L	4568.2	3
STD 0.05	标样	K(ref)	0.05	mg/L	36962	3
STD 0.05	标样	Mg	0.05	mg/L	44013	3
STD 0.05	标样	Mg(ref)	0.05	mg/L	44400	3
STD 0.05	标样	Mg(ref)	0.05	mg/L	178.49	3
STD 0.05	标样	Mg(ref)	0.05	mg/L	10321	3
STD 0.05	标样	Mg(ref)	0.05	mg/L	1558.9	3
STD 0.05	标样	Mn	0.05	mg/L	9742.6	3
STD 0.05	标样	Mn(ref)	0.05	mg/L	9829.4	3
STD 0.05	标样	Mn(ref)	0.05	mg/L	4502.1	3
STD 0.05	标样	Mn(ref)	0.05	mg/L	889.16	3
STD 0.05	标样	Mo	0.05	mg/L	141.8	3
STD 0.05	标样	Mo(ref)	0.05	mg/L	143.18	3
STD 0.05	标样	Mo(ref)	0.05	mg/L	403.03	3
STD 0.05	标样	Mo(ref)	0.05	mg/L	240.14	3
STD 0.05	标样	Na	0.5	mg/L	115950	3
STD 0.05	标样	Na(ref)	0.5	mg/L	17969	3
STD 0.05	标样	Na(ref)	0.5	mg/L	431.34	3
STD 0.05	标样	Na(ref)	0.5	mg/L	258970	3
STD 0.05	标样	Na(ref)	0.5	mg/L	116980	3
STD 0.05	标样	Ni	0.05	mg/L	245.39	3
STD 0.05	标样	Ni(ref)	0.05	mg/L	357.47	3
STD 0.05	标样	Ni(ref)	0.05	mg/L	109.15	3
STD 0.05	标样	Ni(ref)	0.05	mg/L	245.39	3
STD 0.05	标样	Pb	0.05	mg/L	123.88	3
STD 0.05	标样	Pb	0.05	mg/L	119.91	3
STD 0.05	标样	Pb(ref)	0.05	mg/L	46.756	3
STD 0.05	标样	Pb(ref)	0.05	mg/L	26.557	3
STD 0.05	标样	Pb(ref)	0.05	mg/L	125.01	3
STD 0.05	标样	Pb(ref)	0.05	mg/L	40.221	3
STD 0.05	标样	Pb(ref)	0.05	mg/L	90.625	3
STD 0.05	标样	Pb(ref)	0.05	mg/L	37.266	3
STD 0.05	标样	Pb(ref)	0.05	mg/L	122.34	3
STD 0.05	标样	Sb	0.05	mg/L	115.13	3
STD 0.05	标样	Sb(ref)	0.05	mg/L	116.05	3
STD 0.05	标样	Sb(ref)	0.05	mg/L	57.204	3
STD 0.05	标样	Sb(ref)	0.05	mg/L	58.704	3
STD 0.05	标样	Sc	1.02	比值	1120.83	3
STD 0.05	标样	Sc	1.01	比值	9458.36	3
STD 0.05	标样	Sc	1.01	比值	11809.63	3
STD 0.05	标样	Se	0.05	mg/L	53.787	3
STD 0.05	标样	Se(ref)	0.05	mg/L	54.112	3
STD 0.05	标样	Se(ref)	0.05	mg/L	47.406	3
STD 0.05	标样	Sn	0.05	mg/L	116.25	3
STD 0.05	标样	Sn(ref)	0.05	mg/L	117.35	3
STD 0.05	标样	Sn(ref)	0.05	mg/L	61.84	3
STD 0.05	标样	Sn(ref)	0.05	mg/L	236.86	3
STD 0.05	标样	Sr	0.05	mg/L	301630	3
STD 0.05	标样	Sr(ref)	0.05	mg/L	304310	3
STD 0.05	标样	Sr(ref)	0.05	mg/L	123790	3
STD 0.05	标样	Sr(ref)	0.05	mg/L	6834.4	3
STD 0.05	标样	Ti	0.05	mg/L	7226	3
STD 0.05	标样	Ti(ref)	0.05	mg/L	13429	3
STD 0.05	标样	Ti(ref)	0.05	mg/L	7290.2	3
STD 0.05	标样	Ti(ref)	0.05	mg/L	2264.3	3
STD 0.05	标样	Y	1.0115	比值	128890	3
STD 0.05	标样	Y	1.0088	比值	236940	3
STD 0.05	标样	Y	1.0062	比值	160170	3
STD 0.05	标样	Zn	0.05	mg/L	1208.7	3
STD 0.05	标样	Zn(ref)	0.05	mg/L	1219.2	3
STD 0.05	标样	Zn(ref)	0.05	mg/L	197.07	3
STD 0.05	标样	Zr	0.05	mg/L	6481.6	3
STD 0.05	标样	Zr(ref)	0.05	mg/L	6541.7	3
STD 0.05	标样	Zr(ref)	0.05	mg/L	7409.9	3
STD 0.05	标样	Zr(ref)	0.05	mg/L	24237	3
STD 0.1	标样	Al	0.1	mg/L	5657.3	3
STD 0.1	标样	Al(ref)	0.1	mg/L	2123.2	3
STD 0.1	标样	Al(ref)	0.1	mg/L	5851.2	3
STD 0.1	标样	As	0.1	mg/L	123.97	3
STD 0.1	标样	As(ref)	0.1	mg/L	128.16	3
STD 0.1	标样	As(ref)	0.1	mg/L	121.95	3
STD 0.1	标样	As(ref)	0.1	mg/L	43.995	3
STD 0.1	标样	As(ref)	0.1	mg/L	116.67	3
STD 0.1	标样	B	0.1	mg/L	182.43	3
STD 0.1	标样	B(ref)	0.1	mg/L	188.68	3
STD 0.1	标样	B(ref)	0.1	mg/L	1724.1	3
STD 0.1	标样	B(ref)	0.1	mg/L	3236.2	3
STD 0.1	标样	Ba	0.1	mg/L	6245.7	3
STD 0.1	标样	Ba(ref)	0.1	mg/L	4272	3
STD 0.1	标样	Ba(ref)	0.1	mg/L	6458.9	3
STD 0.1	标样	Ba(ref)	0.1	mg/L	149790	3
STD 0.1	标样	Ba(ref)	0.1	mg/L	102320	3
STD 0.1	标样	Ca	0.1	mg/L	899620	3
STD 0.1	标样	Ca(ref)	0.1	mg/L	8837.4	3
STD 0.1	标样	Ca(ref)	0.1	mg/L	609270	3
STD 0.1	标样	Ca(ref)	0.1	mg/L	930360	3
STD 0.1	标样	Ca(ref)	0.1	mg/L	24481	3
STD 0.1	标样	Cd	0.1	mg/L	3171.6	3
STD 0.1	标样	Cd(ref)	0.1	mg/L	3084.6	3
STD 0.1	标样	Cd(ref)	0.1	mg/L	3868.2	3
STD 0.1	标样	Cd(ref)	0.1	mg/L	3280.8	3
STD 0.1	标样	Cd(ref)	0.1	mg/L	315.44	3
STD 0.1	标样	Cd(ref)	0.1	mg/L	361.86	3
STD 0.1	标样	Co	0.1	mg/L	1137.8	3
STD 0.1	标样	Co(ref)	0.1	mg/L	1913.3	3
STD 0.1	标样	Co(ref)	0.1	mg/L	1266.8	3
STD 0.1	标样	Co(ref)	0.1	mg/L	1177	3
STD 0.1	标样	Cr	0.1	mg/L	3538.6	3
STD 0.1	标样	Cr(ref)	0.1	mg/L	720.62	3
STD 0.1	标样	Cr(ref)	0.1	mg/L	206.64	3
STD 0.1	标样	Cr(ref)	0.1	mg/L	3660.2	3
STD 0.1	标样	Cu	0.1	mg/L	5390.2	3
STD 0.1	标样	Cu(ref)	0.1	mg/L	962.96	3
STD 0.1	标样	Cu(ref)	0.1	mg/L	7084	3
STD 0.1	标样	Cu(ref)	0.1	mg/L	5575.7	3
STD 0.1	标样	Fe	0.1	mg/L	3112.1	3
STD 0.1	标样	Fe(ref)	0.1	mg/L	1565.9	3
STD 0.1	标样	Fe(ref)	0.1	mg/L	3218.7	3
STD 0.1	标样	Fe(ref)	0.1	mg/L	1614.8	3
STD 0.1	标样	Hg	0.1	mg/L	222.23	3
STD 0.1	标样	Hg(ref)	0.1	mg/L	229.87	3
STD 0.1	标样	Hg(ref)	0.1	mg/L	382.58	3
STD 0.1	标样	Hg(ref)	0.1	mg/L	387.64	3
STD 0.1	标样	K	0.1	mg/L	7119.8	3
STD 0.1	标样	K(ref)	0.1	mg/L	6638	3
STD 0.1	标样	K(ref)	0.1	mg/L	16.894	3
STD 0.1	标样	K(ref)	0.1	mg/L	15741	3
STD 0.1	标样	K(ref)	0.1	mg/L	7364.8	3
STD 0.1	标样	K(ref)	0.1	mg/L	38831	3
STD 0.1	标样	Mg	0.1	mg/L	85260	3
STD 0.1	标样	Mg(ref)	0.1	mg/L	88172	3
STD 0.1	标样	Mg(ref)	0.1	mg/L	348.25	3
STD 0.1	标样	Mg(ref)	0.1	mg/L	20569	3
STD 0.1	标样	Mg(ref)	0.1	mg/L	3129.3	3
STD 0.1	标样	Mn	0.1	mg/L	19135	3
STD 0.1	标样	Mn(ref)	0.1	mg/L	19791	3
STD 0.1	标样	Mn(ref)	0.1	mg/L	9055.5	3
STD 0.1	标样	Mn(ref)	0.1	mg/L	1773	3
STD 0.1	标样	Mo	0.1	mg/L	246.21	3
STD 0.1	标样	Mo(ref)	0.1	mg/L	254.61	3
STD 0.1	标样	Mo(ref)	0.1	mg/L	725.64	3
STD 0.1	标样	Mo(ref)	0.1	mg/L	453.56	3
STD 0.1	标样	Na	1	mg/L	215430	3
STD 0.1	标样	Na(ref)	1	mg/L	14824	3
STD 0.1	标样	Na(ref)	1	mg/L	717.59	3
STD 0.1	标样	Na(ref)	1	mg/L	463660	3
STD 0.1	标样	Na(ref)	1	mg/L	222850	3
STD 0.1	标样	Ni	0.1	mg/L	485.61	3
STD 0.1	标样	Ni(ref)	0.1	mg/L	705.21	3
STD 0.1	标样	Ni(ref)	0.1	mg/L	230.74	3
STD 0.1	标样	Ni(ref)	0.1	mg/L	485.61	3
STD 0.1	标样	Pb	0.1	mg/L	245.04	3
STD 0.1	标样	Pb	0.1	mg/L	221.73	3
STD 0.1	标样	Pb(ref)	0.1	mg/L	70.162	3
STD 0.1	标样	Pb(ref)	0.1	mg/L	64.759	3
STD 0.1	标样	Pb(ref)	0.1	mg/L	253.45	3
STD 0.1	标样	Pb(ref)	0.1	mg/L	118.5	3
STD 0.1	标样	Pb(ref)	0.1	mg/L	156.3	3
STD 0.1	标样	Pb(ref)	0.1	mg/L	51.315	3
STD 0.1	标样	Pb(ref)	0.1	mg/L	285.12	3
STD 0.1	标样	Sb	0.1	mg/L	202.3	3
STD 0.1	标样	Sb(ref)	0.1	mg/L	209.32	3
STD 0.1	标样	Sb(ref)	0.1	mg/L	99.978	3
STD 0.1	标样	Sb(ref)	0.1	mg/L	103.57	3
STD 0.1	标样	Sc	1.02	比值	1114.1	3
STD 0.1	标样	Sc	1.01	比值	9453.09	3
STD 0.1	标样	Sc	1.01	比值	11728.37	3
STD 0.1	标样	Se	0.1	mg/L	74.892	3
STD 0.1	标样	Se(ref)	0.1	mg/L	77.458	3
STD 0.1	标样	Se(ref)	0.1	mg/L	57.694	3
STD 0.1	标样	Sn	0.1	mg/L	168.86	3
STD 0.1	标样	Sn(ref)	0.1	mg/L	174.62	3
STD 0.1	标样	Sn(ref)	0.1	mg/L	85.311	3
STD 0.1	标样	Sn(ref)	0.1	mg/L	366.48	3
STD 0.1	标样	Sr	0.1	mg/L	588910	3
STD 0.1	标样	Sr(ref)	0.1	mg/L	609070	3
STD 0.1	标样	Sr(ref)	0.1	mg/L	250960	3
STD 0.1	标样	Sr(ref)	0.1	mg/L	13877	3
